,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
1591,24000000,Longview Entertainment,USA,Bill Couturié,Comedy,6288000,Ed,PG,9/24/93,94,2.6,Matt LeBlanc,7497,Ken Richards,1996,0.0,0.0,2.6,2.6,2.6,6.1657692307692304,6.143007360672984,6.216789819376035,2.6,0.0,1.0,1.0,0.0
1592,0,Tartan Films,USA,Chuck Parello,Biography,5708,Ed Gein,NOT RATED,9/24/93,89,5.6,Steve Railsback,4568,Stephen Johnston,2000,0.0,0.0,5.6,5.6,5.75,7.040389972144843,6.959195402298849,6.216789819376035,5.6,0.0,1.0,1.0,0.0
1593,18000000,Touchstone Pictures,USA,Tim Burton,Biography,5887457,Ed Wood,R,10/1/93,127,7.9,Johnny Depp,149166,Rudolph Grey,1994,2.0,2.0,6.987500000000002,7.070588235294119,7.9,7.040389972144843,6.453213443396231,6.216789819376035,6.33435114503817,1.0,2.0,4.0,3.0
1594,30000000,Permut Presentations,USA,Steve Rash,Comedy,31356117,Eddie,PG-13,10/1/93,100,5.1,Whoopi Goldberg,7525,Steve Zacharias,1996,0.0,0.0,5.6916666666666655,5.8500000000000005,5.1499999999999995,6.1657692307692304,6.254035087719299,6.216789819376035,6.06,0.0,1.0,1.0,0.0
1595,0,Alliance Communications Corporation,Canada,Jean-Claude Lord,Drama,536508,Eddie and the Cruisers II: Eddie Lives!,PG-13,10/1/93,99,6.2,Michael Paré,2273,P.F. Kluge,1989,0.0,0.0,6.2,6.2,6.2,6.715720221606655,6.254035087719299,6.217333333333339,6.6111111111111125,0.0,1.0,1.0,0.0
1596,23000000,Hurwitz Creative,UK,Dexter Fletcher,Biography,15785632,Eddie the Eagle,PG-13,10/1/93,106,7.4,Taron Egerton,60644,Sean Macaulay,2016,0.0,0.0,7.4,7.4,7.4,7.040389972144843,6.254035087719299,6.660601719197714,7.4,0.0,1.0,1.0,0.0
1597,0,Rollercoaster Films,UK,James Watkins,Horror,5824,Eden Lake,R,10/1/93,91,6.8,Kelly Reilly,63256,James Watkins,2008,0.0,0.0,6.8,6.5,6.8,5.68700361010831,6.453213443396231,6.660601719197714,6.8,0.0,1.0,1.0,0.0
1598,80000000,Warner Bros.,UK,Martin Campbell,Crime,43313890,Edge of Darkness,R,10/1/93,117,6.6,Mel Gibson,79774,William Monahan,2010,0.0,0.0,6.773913043478259,6.363636363636365,6.933333333333333,6.756321839080459,6.453213443396231,6.660601719197714,6.3843537414965965,0.0,1.0,1.0,0.0
1599,0,Allied Vision,UK,Gérard Kikoïne,Horror,102219,Edge of Sanity,R,10/1/93,85,5.3,Anthony Perkins,1070,J.P. Félix,1989,0.0,0.0,5.3,5.3,5.3,5.68700361010831,6.453213443396231,6.660601719197714,5.466666666666666,0.0,1.0,1.0,0.0
1600,700000,Blue Streak Films,USA,David Moreton,Comedy,870751,Edge of Seventeen,NOT RATED,10/8/93,99,6.8,Chris Stafford,4954,Todd Stephens,1998,0.0,0.0,6.8,6.8,6.8,6.1657692307692304,6.959195402298849,6.216789819376035,6.8,0.0,1.0,1.0,0.0
1601,178000000,Warner Bros.,USA,Doug Liman,Action,100206256,Edge of Tomorrow,PG-13,10/8/93,113,7.9,Tom Cruise,486882,Christopher McQuarrie,2014,0.0,0.0,6.974074074074075,7.114285714285714,7.539999999999999,6.1060856498873015,6.254035087719299,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
1602,80000000,Imagine Entertainment,USA,Ron Howard,Comedy,22362500,Edtv,PG-13,10/8/93,122,6.1,Matthew McConaughey,37180,Émile Gaudreault,1999,0.0,0.0,6.536363636363635,6.840000000000001,6.1,6.1657692307692304,6.254035087719299,6.216789819376035,6.278947368421052,0.0,1.0,1.0,0.0
1603,0,British Screen Productions,UK,Derek Jarman,Drama,694438,Edward II,R,10/8/93,87,7.0,Steven Waddington,1997,Christopher Marlowe,1991,0.0,0.0,7.0,6.966666666666666,7.0,6.715720221606655,6.453213443396231,6.660601719197714,6.691666666666666,0.0,1.0,1.0,0.0
1604,20000000,Twentieth Century Fox Film Corporation,USA,Tim Burton,Drama,56362352,Edward Scissorhands,PG-13,10/8/93,105,7.9,Johnny Depp,384404,Tim Burton,1990,0.0,1.0,6.987500000000002,7.070588235294119,7.766666666666667,6.715720221606655,6.254035087719299,6.216789819376035,6.197073170731709,0.0,1.0,2.0,0.0
1605,40000000,Walt Disney Pictures,USA,Frank Marshall,Adventure,81612565,Eight Below,PG,10/8/93,120,7.3,Paul Walker,52356,David DiGilio,2006,0.0,0.0,5.942857142857143,6.4750000000000005,7.3,6.354846938775506,6.143007360672984,6.216789819376035,6.330392156862746,0.0,1.0,1.0,0.0
1606,34000000,Happy Madison Productions,USA,Seth Kearsley,Animation,23443124,Eight Crazy Nights,PG-13,10/15/93,76,5.3,Adam Sandler,19027,Brooks Arthur,2002,0.0,0.0,6.166666666666667,5.3,5.3,6.746931407942237,6.254035087719299,6.216789819376035,5.5,0.0,1.0,1.0,0.0
1607,0,Underdog Productions,USA,Michael Davis,Comedy,26347,Eight Days a Week,R,10/15/93,92,6.3,Joshua Schaefer,2705,Michael Davis,1997,0.0,0.0,6.3,6.5,6.5,6.1657692307692304,6.453213443396231,6.216789819376035,6.3,0.0,1.0,1.0,0.0
1608,30000000,Warner Bros.,USA,Ellory Elkayem,Action,17322606,Eight Legged Freaks,PG-13,10/15/93,99,5.4,David Arquette,46341,Ellory Elkayem,2002,0.0,0.0,5.74,5.4,5.4,6.1060856498873015,6.254035087719299,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
1609,6000000,Orion Pictures,USA,John Sayles,Drama,5680515,Eight Men Out,PG,10/15/93,119,7.3,John Cusack,15946,Eliot Asinof,1988,0.0,0.0,6.615384615384617,7.516666666666667,7.3,6.715720221606655,6.143007360672984,6.216789819376035,6.2475,0.0,1.0,1.0,0.0
1610,1800000,Strike Entertainment,France,Daniel Stamm,Drama,41034350,El último exorcismo,PG-13,10/21/93,87,5.6,Patrick Fabian,43587,Huck Botko,2010,0.0,0.0,5.6,5.949999999999999,5.6,6.715720221606655,6.254035087719299,6.8533568904593585,6.449999999999999,0.0,0.0,0.0,0.0
1611,28000000,Gramercy Pictures (I),Germany,Marek Kanievska,Drama,5658940,El asalto,PG-13,10/22/93,89,6.3,Paul Newman,4730,E. Max Frye,2000,0.0,0.0,6.571428571428571,6.35,6.449999999999999,6.715720221606655,6.254035087719299,6.329850746268655,6.437499999999999,0.0,1.0,1.0,0.0
1612,0,Peace Arch Entertainment Group,Canada,J.P. Schaefer,Biography,55704,El asesino de John Lennon,R,10/29/93,84,5.7,Chuck Cooper,9163,J.P. Schaefer,2007,0.0,0.0,5.7,5.7,5.7,7.040389972144843,6.453213443396231,6.217333333333339,5.7,0.0,1.0,1.0,0.0
1613,110000000,Forward Pass,Germany,Martin Scorsese,Biography,102608827,El aviador,PG-13,10/29/93,170,7.5,Leonardo DiCaprio,284387,John Logan,2004,0.0,0.0,7.505263157894737,7.62,6.720000000000001,7.040389972144843,6.254035087719299,6.329850746268655,6.45,0.0,1.0,1.0,0.0
1614,35000000,Miramax,Ireland,Sharon Maguire,Comedy,24252420,El bebé de Bridget Jones,R,10/29/93,118,6.6,Renée Zellweger,48197,Helen Fielding,2016,0.0,0.0,6.066666666666667,6.65,6.400000000000001,6.1657692307692304,6.453213443396231,6.859090909090909,6.620779220779219,0.0,0.0,0.0,0.0
1615,33000000,Alcor Films,France,Oliver Stone,Action,5864949,El cielo y la tierra,R,10/29/93,140,6.8,Hiep Thi Le,11419,Le Ly Hayslip,1993,0.0,0.0,6.8,6.929411764705883,6.8,6.1060856498873015,6.453213443396231,6.8533568904593585,6.562500000000001,0.0,1.0,1.0,0.0
1616,0,Menuet Producties,Belgium,Felix van Groeningen,Drama,175058,El círculo roto,NOT RATED,11/5/93,111,7.8,Veerle Baetens,32959,Johan Heldenbergh,2012,0.0,0.0,7.8,7.8,7.8,6.715720221606655,6.959195402298849,7.283333333333333,7.8,0.0,0.0,0.0,0.0
1617,0,ARTE France,Iran,Asghar Farhadi,Drama,3402067,El cliente,PG-13,11/5/93,124,7.9,Taraneh Alidoosti,28449,Asghar Farhadi,2016,0.0,0.0,7.9,8.049999999999999,8.049999999999999,6.715720221606655,6.254035087719299,7.916666666666665,7.9,0.0,1.0,1.0,0.0
1618,1800000,Alameda Films,Mexico,Carlos Carrera,Drama,5709616,El crimen del padre Amaro,R,11/5/93,100,6.8,Gael García Bernal,11545,Vicente Leñero,2002,0.0,0.0,7.122222222222222,6.8,6.8,6.715720221606655,6.453213443396231,6.8933333333333335,6.8,0.0,1.0,1.0,0.0
1619,0,Cube Libre,Canada,Vincenzo Natali,Drama,501818,El cubo,R,11/5/93,90,7.3,Nicole de Boer,174546,André Bijelic,1997,0.0,0.0,7.3,6.55,7.3,6.715720221606655,6.453213443396231,6.217333333333339,7.3,0.0,1.0,1.0,0.0
1620,30000000,Dino De Laurentiis Company,Germany,Uli Edel,Drama,13275426,El cuerpo del delito,R,11/5/93,99,4.4,Madonna,11992,Brad Mirman,1993,0.0,0.0,4.74,6.1000000000000005,5.6000000000000005,6.715720221606655,6.453213443396231,6.329850746268655,6.157142857142857,0.0,1.0,1.0,0.0
1621,25000000,Asis Productions,South Africa,Phillip Noyce,Drama,45089048,El dador de recuerdos,PG-13,11/5/93,97,6.5,Brenton Thwaites,96205,Michael Mitnick,2014,0.0,0.0,6.0,6.5636363636363635,6.5,6.715720221606655,6.254035087719299,6.155555555555555,6.5,0.0,1.0,1.0,0.0
1622,10000000,United Artists,Germany,Victor Salva,Horror,37904175,El demonio,R,11/12/93,90,6.1,Gina Philips,94632,Victor Salva,2001,0.0,0.0,6.1,6.4,6.099999999999999,5.68700361010831,6.453213443396231,6.329850746268655,6.4,0.0,1.0,1.0,0.0
1623,7000000,Space Rocket Nation,Denmark,Nicolas Winding Refn,Horror,1333124,El demonio neón,R,11/12/93,118,6.2,Elle Fanning,56660,Nicolas Winding Refn,2016,0.0,0.0,6.575,6.7,5.966666666666666,5.68700361010831,6.453213443396231,7.13939393939394,5.95,0.0,0.0,0.0,0.0
1624,40000000,Chartoff-Winkler Productions,France,Dennis Gansel,Action,21203260,El especialista: La resurrección,R,11/12/93,98,5.6,Jason Statham,53849,Lewis John Carlino,2016,0.0,0.0,6.399999999999999,6.5,5.6,6.1060856498873015,6.453213443396231,6.8533568904593585,5.6,0.0,0.0,0.0,0.0
1625,0,StudioCanal,France,Tomas Alfredson,Drama,24149393,El espía que sabía demasiado,R,11/17/93,122,7.1,Gary Oldman,160451,Bridget O'Connor,2011,0.0,0.0,6.872727272727272,7.5,7.1,6.715720221606655,6.453213443396231,6.8533568904593585,6.48888888888889,0.0,0.0,0.0,0.0
1626,39200000,SnowPiercer,South Korea,Joon-ho Bong,Action,4563650,El expreso del miedo,R,11/19/93,126,7.0,Chris Evans,207368,Joon-ho Bong,2013,0.0,0.0,7.233333333333333,7.475,7.475,6.1060856498873015,6.453213443396231,7.344999999999999,7.0,0.0,1.0,1.0,0.0
1627,0,Lakeshore Entertainment,Hong Kong,Ewan McGregor,Crime,541457,El fin del sueño americano,R,11/19/93,108,6.1,Ewan McGregor,9061,Philip Roth,2016,0.0,0.0,6.647058823529413,6.1,6.3999999999999995,6.756321839080459,6.453213443396231,6.951282051282049,6.194444444444445,0.0,0.0,0.0,0.0
1628,105000000,Warner Bros.,Australia,Baz Luhrmann,Drama,144840419,El gran Gatsby,PG-13,11/19/93,143,7.3,Leonardo DiCaprio,394723,Baz Luhrmann,2013,0.0,0.0,7.505263157894737,7.1,7.366666666666666,6.715720221606655,6.254035087719299,6.685365853658537,6.3843537414965965,0.0,1.0,1.0,0.0
1629,20000000,Metanoia Films,Mexico,Alejandro Monteverde,Drama,6420319,El gran pequeño,PG-13,11/19/93,106,7.4,Jakob Salvati,19156,Alejandro Monteverde,2015,0.0,0.0,7.4,7.4,7.4,6.715720221606655,6.254035087719299,6.8933333333333335,7.4,0.0,0.0,0.0,0.0
1630,0,Laokoon Filmgroup,Hungary,László Nemes,Drama,1777043,El hijo de Saúl,R,11/24/93,107,7.5,Géza Röhrig,32339,László Nemes,2015,0.0,0.0,7.5,7.5,7.5,6.715720221606655,6.453213443396231,7.142857142857143,7.5,0.0,0.0,0.0,0.0
1631,17000000,Vision PDG,Ireland,Neil Jordan,Comedy,8578231,El Hotel de los Fantasmas,PG-13,11/24/93,99,5.7,Peter O'Toole,6979,Neil Jordan,1988,0.0,0.0,5.550000000000001,6.799999999999999,6.933333333333333,6.1657692307692304,6.254035087719299,6.859090909090909,4.92,0.0,1.0,1.0,0.0
1632,0,StudioCanal,France,David Lynch,Drama,751138,El imperio,R,11/24/93,180,7.0,Laura Dern,45610,David Lynch,2006,0.0,0.0,6.8999999999999995,7.542857142857144,7.5200000000000005,6.715720221606655,6.453213443396231,6.8533568904593585,6.48888888888889,0.0,1.0,1.0,0.0
1633,11000000,Twisted Pictures,Canada,Kevin Greutert,Horror,27669413,El juego del miedo VI,R,11/24/93,90,6.0,Tobin Bell,83129,Patrick Melton,2009,0.0,0.0,5.925000000000001,5.8,5.6571428571428575,5.68700361010831,6.453213443396231,6.217333333333339,6.114285714285714,0.0,1.0,1.0,0.0
1634,0,Kasander & Wigman Productions,Netherlands,Peter Greenaway,Drama,2293037,El libro de cabecera,NOT RATED,11/24/93,126,6.7,Vivian Wu,11067,Sei Shonagon,1996,0.0,0.0,6.7,6.883333333333334,6.7,6.715720221606655,6.959195402298849,7.108333333333333,6.7,0.0,1.0,1.0,0.0
1635,27000000,Vegahom Europe,USA,Stephen Sommers,Adventure,44342956,El Libro de la Selva,PG,12/3/93,111,6.0,Jason Scott Lee,14034,Rudyard Kipling,1994,0.0,0.0,6.65,6.185714285714285,6.0,6.354846938775506,6.143007360672984,6.216789819376035,6.0,0.0,1.0,1.0,0.0
1636,60000000,New Line Cinema,Germany,Iain Softley,Adventure,17303424,El libro mágico,PG,12/3/93,106,6.1,Brendan Fraser,64411,David Lindsay-Abaire,2008,0.0,0.0,5.870588235294118,6.683333333333334,6.325,6.354846938775506,6.143007360672984,6.329850746268655,6.145348837209304,0.0,0.0,0.0,0.0
1637,7000,Columbia Pictures Corporation,USA,Robert Rodriguez,Action,2040920,El Mariachi,R,12/3/93,81,6.9,Carlos Gallardo,55226,Robert Rodriguez,1992,0.0,0.0,6.9,5.6923076923076925,5.572727272727273,6.1060856498873015,6.453213443396231,6.216789819376035,6.265060240963854,0.0,1.0,1.0,0.0
1638,50000000,Regency Enterprises,Germany,F. Gary Gray,Action,44484065,El mediador,R,12/8/93,140,7.3,Samuel L. Jackson,113865,James DeMonaco,1998,0.0,0.0,6.29375,6.9375,5.983333333333333,6.1060856498873015,6.453213443396231,6.329850746268655,6.042424242424243,0.0,1.0,1.0,0.0
1639,40000000,MDP Worldwide,Germany,Peter Hyams,Action,27053815,El mosquetero,PG-13,12/10/93,104,4.7,Justin Chambers,13209,Alexandre Dumas,2001,0.0,0.0,5.050000000000001,5.718181818181819,6.56,6.1060856498873015,6.254035087719299,6.329850746268655,5.459999999999999,0.0,1.0,1.0,0.0
1640,0,Terra Incognita Films,Belgium,Jaco Van Dormael,Comedy,89182,El nuevo nuevo testamento,NOT RATED,12/10/93,114,7.1,Pili Groyne,20984,Thomas Gunzig,2015,0.0,0.0,7.1,7.575,7.1,6.1657692307692304,6.959195402298849,7.283333333333333,7.1,0.0,1.0,1.0,0.0
1641,0,Beijing Film Studio,China,Zhuangzhuang Tian,Drama,355974,El papalote azul,Not specified,12/10/93,100,7.7,Tian Yi,2170,Xiao Mao,1993,0.0,0.0,7.7,7.7,7.7,6.715720221606655,7.14761904761905,7.358333333333333,7.725,0.0,1.0,1.0,0.0
1642,11000000,Memento Films Production,France,Asghar Farhadi,Drama,1330596,El pasado,PG-13,12/17/93,130,7.8,Bérénice Bejo,37148,Asghar Farhadi,2013,0.0,0.0,7.8,8.049999999999999,8.049999999999999,6.715720221606655,6.254035087719299,6.8533568904593585,7.8,0.0,1.0,1.0,0.0
1643,1500000,Cross Creek Pictures,Canada,Jon Watts,Horror,55007,El payaso del mal,R,12/17/93,100,5.7,Andy Powers,16279,Christopher Ford,2014,0.0,0.0,5.7,6.0,6.4,5.68700361010831,6.453213443396231,6.217333333333339,6.666666666666667,0.0,1.0,1.0,0.0
1644,14000000,Open Road Films,Belgium,Erik Van Looy,Mystery,5981749,El penthouse,R,12/17/93,108,6.3,Karl Urban,40462,Bart De Pauw,2014,0.0,0.0,6.0,6.85,6.3,6.342105263157895,6.453213443396231,7.283333333333333,5.699999999999999,0.0,1.0,1.0,0.0
1645,0,Constantin Film,Germany,Tom Tykwer,Crime,2223293,El Perfume: Historia de un asesino,R,12/21/93,147,7.5,Ben Whishaw,202948,Andrew Birkin,2006,0.0,0.0,7.5,7.066666666666667,7.033333333333334,6.756321839080459,6.453213443396231,6.329850746268655,6.5200000000000005,0.0,1.0,1.0,0.0
1646,7000000,CiBy 2000,New Zealand,Jane Campion,Drama,40158000,El piano,R,12/25/93,121,7.6,Holly Hunter,67921,Jane Campion,1993,0.0,0.0,6.766666666666666,6.657142857142857,6.633333333333333,6.715720221606655,6.453213443396231,7.355555555555556,6.875000000000001,0.0,1.0,1.0,0.0
1647,16000000,Columbia Pictures,Germany,Josef Rusnak,Mystery,15500000,El piso 13,R,12/25/93,100,7.0,Craig Bierko,56325,Daniel F. Galouye,1999,0.0,0.0,7.0,7.0,7.0,6.342105263157895,6.453213443396231,6.329850746268655,6.315740740740743,0.0,1.0,1.0,0.0
1648,0,Lacewood Productions,Canada,Paul Schibli,Animation,1781694,El príncipe Cascanueces,G,12/25/93,100,6.9,Kiefer Sutherland,1698,E.T.A. Hoffmann,1990,0.0,0.0,6.1000000000000005,6.9,6.9,6.746931407942237,6.438095238095238,6.217333333333339,6.9,0.0,0.0,0.0,0.0
1649,81200000,Onyx Films,France,Mark Osborne,Animation,1339152,El principito,PG,12/29/93,108,7.8,Jeff Bridges,41751,Irena Brignull,2015,0.0,0.0,6.728571428571428,7.699999999999999,7.3,6.746931407942237,6.143007360672984,6.8533568904593585,7.8,0.0,1.0,1.0,0.0
1650,0,Dentsu,Japan,Hiromasa Yonebayashi,Animation,765127,El recuerdo de Marnie,PG,1/7/94,103,7.8,Sara Takatsuki,18970,Joan G. Robinson,2014,0.0,0.0,7.8,7.699999999999999,7.8,6.746931407942237,6.143007360672984,6.983823529411765,7.449999999999999,0.0,1.0,1.0,0.0
1651,0,Castle Rock Entertainment,Germany,Volker Schlöndorff,Crime,5840581,El secreto,R,1/7/94,114,6.0,Woody Harrelson,6906,James Hadley Chase,1998,0.0,0.0,6.42,6.266666666666667,6.0,6.756321839080459,6.453213443396231,6.329850746268655,6.4129032258064536,0.0,1.0,1.0,0.0
1652,30000000,EuropaCorp,France,Olivier Megaton,Action,31715062,El transportador 3,PG-13,1/7/94,104,6.1,Jason Statham,136246,Luc Besson,2008,0.0,0.0,6.399999999999999,6.200000000000001,6.6320000000000014,6.1060856498873015,6.254035087719299,6.8533568904593585,6.307142857142857,0.0,1.0,1.0,0.0
1653,25000000,EuropaCorp,France,Camille Delamarre,Action,16027866,El transportador recargado,PG-13,1/12/94,96,5.1,Ed Skrein,32420,Adam Cooper,2015,0.0,0.0,5.1,5.4,5.95,6.1060856498873015,6.254035087719299,6.8533568904593585,6.307142857142857,0.0,1.0,1.0,0.0
1654,0,Distant Horizon,South Africa,Tobe Hooper,Horror,1781383,El triturador,R,1/14/94,106,4.0,Robert Englund,7031,Tobe Hooper,1995,0.0,0.0,5.166666666666667,5.033333333333333,4.0,5.68700361010831,6.453213443396231,6.155555555555555,5.166666666666667,0.0,1.0,1.0,0.0
1655,65000000,Carolco Pictures,USA,Paul Verhoeven,Action,119394840,El vengador del futuro,R,1/14/94,113,7.5,Arnold Schwarzenegger,257253,Philip K. Dick,1990,0.0,0.0,6.136363636363637,6.757142857142858,6.866666666666666,6.1060856498873015,6.453213443396231,6.216789819376035,6.2250000000000005,0.0,1.0,1.0,0.0
1656,0,Reteitalia,Italy,Abel Ferrara,Crime,2554476,El verdugo de Nueva York,R,1/14/94,103,7.0,Christopher Walken,25511,Nicholas St. John,1990,0.0,0.0,6.1125,6.2125,6.360000000000001,6.756321839080459,6.453213443396231,6.958823529411763,7.0,0.0,1.0,1.0,0.0
1657,25000000,Bona Fide Productions,USA,Alexander Payne,Comedy,14879556,Election,R,1/14/94,103,7.3,Matthew Broderick,77515,Tom Perrotta,1999,0.0,1.0,6.345454545454545,7.333333333333333,7.3,6.1657692307692304,6.453213443396231,6.216789819376035,6.866666666666667,0.0,1.0,2.0,0.0
1658,13000000,Lakeshore Entertainment,USA,Isabel Coixet,Drama,3581642,Elegy,R,1/21/94,112,6.8,Ben Kingsley,20231,Nicholas Meyer,2008,0.0,0.0,6.233333333333333,7.199999999999999,6.25,6.715720221606655,6.453213443396231,6.216789819376035,6.194444444444445,0.0,1.0,1.0,0.0
1659,43000000,Twentieth Century Fox Film Corporation,Canada,Rob Bowman,Action,24409722,Elektra,PG-13,1/26/94,97,4.8,Jennifer Garner,75843,Mark Steven Johnson,2005,0.0,0.0,6.116666666666667,6.05,5.857142857142856,6.1060856498873015,6.254035087719299,6.217333333333339,6.197073170731709,0.0,1.0,1.0,0.0
1660,0,Gato Negro Films,USA,Sebastian Gutierrez,Comedy,10822,Elektra Luxx,R,1/28/94,100,5.1,Joseph Gordon-Levitt,6197,Sebastian Gutierrez,2010,0.0,0.0,6.953846153846153,5.1,5.433333333333333,6.1657692307692304,6.453213443396231,6.216789819376035,5.1,0.0,1.0,1.0,0.0
1661,3000000,HBO Films,USA,Gus Van Sant,Crime,1227000,Elephant,R,1/28/94,81,7.2,Elias McConnell,75039,Gus Van Sant,2003,0.0,0.0,7.2,6.546153846153846,6.7,6.756321839080459,6.453213443396231,6.216789819376035,6.8999999999999995,0.0,1.0,1.0,0.0
1662,33000000,New Line Cinema,USA,Jon Favreau,Comedy,173398518,Elf,PG,1/28/94,97,6.9,Will Ferrell,162013,David Berenbaum,2003,0.0,0.0,6.410526315789473,6.8875,5.866666666666667,6.1657692307692304,6.143007360672984,6.216789819376035,6.145348837209304,0.0,1.0,1.0,0.0
1663,0,Empire Pictures,USA,Peter Manoogian,Action,4601256,Eliminators,PG,2/4/94,96,4.5,Andrew Prine,1422,Paul De Meo,1986,0.0,0.0,4.5,5.5,4.75,6.1060856498873015,6.143007360672984,6.216789819376035,5.3999999999999995,0.0,1.0,1.0,0.0
1664,4000000,Zazen Produções,Brazil,José Padilha,Action,8060,Elite Squad,R,2/4/94,115,8.1,Wagner Moura,86772,André Batista,2007,0.0,0.0,8.1,7.466666666666666,8.1,6.1060856498873015,6.453213443396231,7.783333333333334,8.1,0.0,1.0,1.0,0.0
1665,0,Globo Filmes,Brazil,José Padilha,Action,100119,Elite Squad: The Enemy Within,UNRATED,2/4/94,115,8.1,Wagner Moura,70700,Bráulio Mantovani,2010,0.0,0.0,8.1,7.466666666666666,8.1,6.1060856498873015,6.798591549295779,7.783333333333334,8.1,0.0,1.0,1.0,0.0
1666,30000000,PolyGram Filmed Entertainment,UK,Shekhar Kapur,Biography,30082699,Elizabeth,R,2/4/94,124,7.5,Cate Blanchett,80195,Michael Hirst,1998,1.0,7.0,7.091666666666668,6.966666666666666,7.5,7.040389972144843,6.453213443396231,6.660601719197714,6.871428571428572,1.0,2.0,9.0,2.0
1667,55000000,Universal Pictures,UK,Shekhar Kapur,Biography,16285240,Elizabeth: The Golden Age,PG-13,2/4/94,114,6.9,Cate Blanchett,58073,William Nicholson,2007,1.0,2.0,7.091666666666668,6.966666666666666,7.057142857142857,7.040389972144843,6.254035087719299,6.660601719197714,6.396357615894037,0.0,1.0,3.0,1.0
1668,57000000,Paramount Pictures,USA,Cameron Crowe,Comedy,26838389,Elizabethtown,PG-13,2/4/94,123,6.4,Orlando Bloom,61111,Cameron Crowe,2005,0.0,0.0,6.400000000000001,6.887500000000001,6.850000000000001,6.1657692307692304,6.254035087719299,6.216789819376035,6.304247104247108,0.0,1.0,1.0,0.0
1669,35000000,Miramax,USA,Tommy O'Haver,Comedy,22918387,Ella Enchanted,PG,2/4/94,96,6.3,Anne Hathaway,51752,Laurie Craig,2004,0.0,0.0,6.466666666666666,6.05,6.35,6.1657692307692304,6.143007360672984,6.216789819376035,6.620779220779219,0.0,1.0,1.0,0.0
1670,0,Toy Fight Productions,Canada,Nacho Vigalondo,Action,3021345,Ella es un monstruo,R,2/10/94,109,6.2,Anne Hathaway,29178,Nacho Vigalondo,2016,0.0,0.0,6.466666666666666,6.7,6.7,6.1060856498873015,6.453213443396231,6.217333333333339,6.2,0.0,1.0,1.0,0.0
1671,0,Slot Machine,France,Malgorzata Szumowska,Drama,157427,Elles,UNRATED,2/11/94,99,5.7,Juliette Binoche,5354,Tine Byrckel,2011,0.0,0.0,7.1375,5.7,5.7,6.715720221606655,6.798591549295779,6.8533568904593585,5.7,0.0,1.0,1.0,0.0
1672,7500000,NBC Productions,USA,James Signorelli,Comedy,5596267,Elvira: Mistress of the Dark,PG-13,2/11/94,96,6.4,Cassandra Peterson,9751,Sam Egan,1988,0.0,0.0,6.4,6.4,6.4,6.1657692307692304,6.254035087719299,6.216789819376035,6.4,0.0,1.0,1.0,0.0
1673,115000000,TriStar Pictures,USA,Neill Blomkamp,Action,93050117,Elysium,R,2/11/94,109,6.6,Matt Damon,366674,Neill Blomkamp,2013,0.0,0.0,6.822727272727272,7.166666666666667,7.166666666666667,6.1060856498873015,6.453213443396231,6.216789819376035,6.225882352941177,0.0,1.0,1.0,0.0
1674,1400000,Buffalo Films,Colombia,Ciro Guerra,Adventure,1329249,Embrace of the Serpent,NOT RATED,2/11/94,125,7.9,Nilbio Torres,13698,Ciro Guerra,2015,0.0,1.0,7.9,7.9,7.9,6.354846938775506,6.959195402298849,7.7,7.9,0.0,1.0,2.0,0.0
1675,6000000,Miramax,UK,Douglas McGrath,Comedy,22201883,Emma,PG,2/11/94,120,6.7,Gwyneth Paltrow,29972,Jane Austen,1996,0.0,0.0,6.4375,7.0,6.875,6.1657692307692304,6.143007360672984,6.660601719197714,6.620779220779219,0.0,1.0,1.0,0.0
1676,3500000,Arenas Entertainment,USA,Franc. Reyes,Crime,17504595,Empire,R,2/18/94,90,6.0,John Leguizamo,6725,Franc. Reyes,2002,0.0,0.0,5.799999999999999,6.0,6.0,6.756321839080459,6.453213443396231,6.216789819376035,6.0,1.0,1.0,1.0,1.0
1677,35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,2/18/94,153,7.8,Christian Bale,96566,Tom Stoppard,1987,0.0,6.0,7.389999999999999,7.385714285714287,7.333333333333333,6.715720221606655,6.143007360672984,6.216789819376035,6.522222222222222,0.0,1.0,7.0,0.0
1678,0,Monarchy Enterprises B.V.,USA,Allan Moyle,Comedy,303841,Empire Records,PG-13,2/18/94,90,6.7,Anthony LaPaglia,40911,Carol Heikkinen,1995,0.0,0.0,7.1000000000000005,6.3,6.566666666666666,6.1657692307692304,6.254035087719299,6.216789819376035,6.7,0.0,1.0,1.0,0.0
1679,12000000,Lionsgate,USA,Greg Coolidge,Comedy,28435406,Employee of the Month,PG-13,2/25/94,103,5.5,Jessica Simpson,39328,Don Calame,2006,0.0,0.0,5.5,5.5,5.5,6.1657692307692304,6.254035087719299,6.216789819376035,6.052272727272729,0.0,1.0,1.0,0.0
