,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
20,62000000,Paramount Pictures,USA,Karyn Kusama,Action,25857987,Æon Flux,PG-13,2/6/86,93,5.5,Charlize Theron,114477,Phil Hay,2005,0.0,0.0,6.612499999999999,6.0249999999999995,5.92,6.1060856498873015,6.254035087719299,6.216789819376035,6.304247104247108,0.0,0.0,0.0,0.0
21,15000000,Paramount Pictures,USA,Dan Trachtenberg,Drama,71897215,10 Cloverfield Lane,PG-13,2/7/86,104,7.2,John Goodman,208655,Josh Campbell,2016,0.0,0.0,5.888888888888888,7.2,7.2,6.715720221606655,6.254035087719299,6.216789819376035,6.304247104247108,0.0,1.0,1.0,0.0
22,30000000,Touchstone Pictures,USA,Gil Junger,Comedy,38176108,10 Things I Hate About You,PG-13,2/7/86,97,7.2,Heath Ledger,244103,Karen McCullah,1999,0.0,0.0,6.65,6.0,6.35,6.1657692307692304,6.254035087719299,6.216789819376035,6.33435114503817,0.0,1.0,1.0,0.0
23,0,Anchor Bay Films,USA,Jamie Linden,Comedy,203373,10 Years,PG-13,2/14/86,100,6.1,Channing Tatum,20229,Jamie Linden,2011,0.0,0.0,6.12,6.1,6.5,6.1657692307692304,6.254035087719299,6.216789819376035,6.3,0.0,1.0,1.0,0.0
24,105000000,Warner Bros.,USA,Roland Emmerich,Action,94784201,"10,000 BC",PG-13,2/14/86,109,5.1,Camilla Belle,114171,Roland Emmerich,2008,0.0,0.0,5.675000000000001,6.2272727272727275,5.766666666666666,6.1060856498873015,6.254035087719299,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
25,75000000,Walt Disney Pictures,USA,Stephen Herek,Adventure,136189294,101 Dalmatians,G,2/14/86,103,5.7,Glenn Close,81872,Dodie Smith,1996,0.0,0.0,6.519999999999999,6.1,5.866666666666667,6.354846938775506,6.438095238095238,6.216789819376035,6.330392156862746,0.0,1.0,1.0,0.0
26,85000000,Cruella Productions,USA,Kevin Lima,Adventure,66957026,102 Dalmatians,G,2/14/86,100,4.8,Glenn Close,28524,Dodie Smith,2000,0.0,1.0,6.519999999999999,6.233333333333333,5.866666666666667,6.354846938775506,6.438095238095238,6.216789819376035,4.8,0.0,1.0,2.0,0.0
27,9000000,Universal Pictures,France,James DeMonaco,Action,71962800,12 horas para sobrevivir,R,2/14/86,103,6.5,Frank Grillo,110032,James DeMonaco,2014,0.0,0.0,6.25,6.066666666666666,5.983333333333333,6.1060856498873015,6.453213443396231,6.8533568904593585,6.396357615894037,0.0,1.0,1.0,0.0
28,22000000,Fox Atomic,USA,Renny Harlin,Action,12232937,12 Rounds,PG-13,2/19/86,108,5.6,John Cena,24250,Daniel Kunka,2009,0.0,0.0,5.15,5.66,5.6,6.1060856498873015,6.254035087719299,6.216789819376035,5.4222222222222225,0.0,1.0,1.0,0.0
29,20000000,Regency Enterprises,USA,Steve McQueen,Biography,56671993,12 Years a Slave,R,2/21/86,134,8.1,Chiwetel Ejiofor,503763,John Ridley,2013,3.0,9.0,6.933333333333334,7.633333333333333,6.566666666666666,7.040389972144843,6.453213443396231,6.216789819376035,6.042424242424243,0.0,6.0,15.0,3.0
