,movie score,budget,gross,runtime,votes,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Total Nominations,Total Awards
44,6.7,61000000,75612460,109,168840,6.8916666666666675,6.766666666666667,6.7,6.1060856498873015,6.453213443396231,6.216789819376035,6.396357615894037,1.0,0.0
45,5.9,6000000,6851636,101,13466,6.3,5.9,5.9,6.1657692307692304,6.453213443396231,6.216789819376035,6.050000000000002,1.0,0.0
46,7.4,7000000,5663855,119,20814,6.75,7.066666666666667,7.300000000000002,6.1657692307692304,6.453213443396231,6.216789819376035,7.45,2.0,0.0
47,5.9,13000000,25682380,93,64737,6.5,6.050000000000002,6.4,6.1657692307692304,6.453213443396231,6.216789819376035,6.1125,1.0,0.0
48,7.7,20000000,16248701,124,200427,6.637499999999998,7.7666666666666675,7.5,6.756321839080459,6.453213443396231,6.216789819376035,6.7666666666666675,3.0,0.0
49,7.2,42000000,138447667,110,441919,6.6,7.275,7.300000000000002,6.1060856498873015,6.453213443396231,6.216789819376035,6.315740740740742,1.0,0.0
50,7.1,50000000,191719337,112,288814,6.12,7.275,7.300000000000002,6.1060856498873015,6.453213443396231,6.216789819376035,6.315740740740742,1.0,0.0
51,7.4,0,1130379,117,28543,6.775,6.5,6.9,7.040389972144843,6.453213443396231,6.6606017191977145,6.15,1.0,0.0
52,7.7,5000000,13060843,135,156154,7.116666666666666,6.555555555555554,7.200000000000001,6.715720221606655,6.453213443396231,6.216789819376035,7.7,1.0,0.0
53,6.1,30000000,76808654,111,133431,5.900000000000001,6.04,6.48,6.1657692307692304,6.2540350877192985,6.216789819376035,6.270689655172415,1.0,0.0
54,6.0,43000000,37170488,103,37015,5.942857142857143,5.671428571428572,6.3571428571428585,6.1657692307692304,6.2540350877192985,6.216789819376035,6.265060240963853,1.0,0.0
55,7.6,8000000,45064915,113,320108,7.3199999999999985,7.281818181818181,7.533333333333334,6.715720221606655,6.453213443396231,6.6606017191977145,7.3,1.0,0.0
56,7.0,15000000,28638916,100,225731,6.666666666666668,6.433333333333334,6.533333333333334,6.715720221606655,6.453213443396231,6.6606017191977145,5.422222222222223,1.0,0.0
57,5.2,0,54523,114,3679,6.1,6.050000000000002,6.050000000000002,6.715720221606655,6.798591549295779,6.853356890459359,6.050000000000002,1.0,0.0
58,7.3,0,2120564,101,2157,7.1000000000000005,6.599999999999999,7.3,6.1657692307692304,6.453213443396231,6.216789819376035,6.975,1.0,0.0
59,6.2,28000000,30697999,117,75138,6.853846153846153,6.083333333333332,5.866666666666667,6.1060856498873015,6.2540350877192985,6.216789819376035,6.307142857142857,1.0,0.0
60,5.6,5000000,66371,92,2608,6.6,5.6,5.6,6.715720221606655,6.2540350877192985,6.216789819376035,6.4,1.0,0.0
61,8.4,0,6532908,170,250762,8.044444444444443,8.3,8.3,6.354846938775506,6.2540350877192985,7.682051282051282,8.4,1.0,0.0
62,5.9,11000000,167780960,102,39544,5.928571428571429,5.82,6.033333333333334,6.1657692307692304,6.143007360672983,6.216789819376035,5.4700000000000015,1.0,0.0
63,5.3,0,71609321,104,18817,5.928571428571429,6.1400000000000015,6.033333333333334,6.1657692307692304,6.143007360672983,6.216789819376035,6.33435114503817,1.0,0.0
64,5.2,6500000,29000301,84,17402,4.566666666666666,6.3900000000000015,5.2,6.1060856498873015,6.143007360672983,6.216789819376035,6.33435114503817,1.0,0.0
65,4.4,20000000,11784000,93,7189,4.566666666666666,4.85,4.4,5.792857142857143,6.143007360672983,6.216789819376035,4.4,1.0,0.0
66,4.1,0,407618,85,4527,4.566666666666666,4.1,4.1,6.1657692307692304,6.2540350877192985,6.216789819376035,4.1,1.0,0.0
67,2.8,0,375805,93,9353,2.8,4.675,4.949999999999998,6.1060856498873015,6.143007360672983,6.216789819376035,2.8,1.0,0.0
68,8.1,1000000,238507,88,41640,8.1,7.766666666666667,7.766666666666667,6.756321839080459,6.453213443396231,7.344999999999999,8.1,1.0,0.0
69,7.7,55000000,53606916,122,252471,7.011111111111112,7.066666666666666,7.7,6.354846938775506,6.453213443396231,6.216789819376035,6.052272727272729,3.0,0.0
70,6.6,32000000,39568996,113,146606,6.716666666666666,6.2,6.6,5.68700361010831,6.453213443396231,6.216789819376035,6.315740740740742,1.0,0.0
71,6.1,28000000,37053924,83,82495,6.7666666666666675,6.833333333333332,6.1,6.1060856498873015,6.453213443396231,6.329850746268655,6.315740740740742,1.0,0.0
72,6.2,110000000,106580051,102,242932,6.2,6.2,6.666666666666668,6.1060856498873015,6.453213443396231,6.216789819376035,6.3843537414965965,1.0,0.0
73,5.9,62000000,15738632,125,39439,6.622222222222222,5.9,5.9,6.1060856498873015,6.453213443396231,6.216789819376035,5.7727272727272725,1.0,0.0
74,6.0,0,410109,88,938,6.0,5.933333333333334,5.933333333333334,6.126666666666666,7.14761904761905,6.853356890459359,6.0,1.0,0.0
75,7.9,0,1185783,113,48360,7.9,7.9,7.9,6.715720221606655,6.959195402298849,6.9,7.9,1.0,0.0
76,5.6,17000000,37950822,96,64465,6.716666666666666,5.874999999999999,5.6,6.1657692307692304,6.453213443396231,6.216789819376035,6.620779220779219,1.0,0.0
77,7.1,0,4250507,91,23800,7.033333333333332,7.4,7.4,6.715720221606655,6.453213443396231,6.6606017191977145,6.8,2.0,0.0
78,6.3,175000000,38362475,119,125778,6.537499999999999,6.3,6.75,6.1060856498873015,6.2540350877192985,6.216789819376035,6.3,1.0,0.0
79,7.1,0,116400,95,13188,6.875,7.1,6.35,6.1657692307692304,6.453213443396231,6.216789819376035,5.833333333333332,1.0,0.0
80,6.8,75000000,120908074,99,283647,6.166666666666668,6.3,6.8,6.1657692307692304,6.2540350877192985,6.216789819376035,6.265060240963853,1.0,0.0
81,7.7,8000000,35014192,100,285675,6.953846153846152,7.0,7.7,6.1657692307692304,6.453213443396231,6.216789819376035,6.344736842105262,1.0,0.0
82,7.7,7500000,32391374,95,407875,7.300000000000002,7.133333333333333,6.9,6.1657692307692304,6.2540350877192985,6.216789819376035,6.817543859649125,1.0,0.0
83,6.4,0,5186646,110,3866,5.666666666666668,5.9,6.18,6.756321839080459,6.453213443396231,6.216789819376035,5.581818181818181,1.0,0.0
84,5.3,3000000,3559990,95,8398,5.928571428571429,5.3,5.7200000000000015,6.1657692307692304,6.453213443396231,6.216789819376035,6.2475,1.0,0.0
85,7.0,41000000,116724075,110,204990,7.0,6.7333333333333325,7.2,6.715720221606655,6.453213443396231,6.216789819376035,6.278947368421052,2.0,1.0
86,5.7,18000000,1305114,115,3607,6.728571428571428,5.7,5.7333333333333325,6.1060856498873015,6.453213443396231,6.216789819376035,5.800000000000002,1.0,0.0
